"ein","name","city","state","propublica_url","foundation_website","scholarship_url","notes"
"920155067","Alaska Community Foundation","Anchorage","AK","https://projects.propublica.org/nonprofits/organizations/920155067","https://alaskacf.org","https://alaskacf.org/scholarships/","49+ scholarships; single application Jan 15-Mar 15; ~$700K awarded annually"
"272247740","Arctic Slope Community Foundation","Anchorage","AK","https://projects.propublica.org/nonprofits/organizations/272247740","https://www.arcticslopecommunity.org","","Grants to orgs/tribes only, not individuals. Related: Arctic Education Foundation (arcticed.com) has individual scholarships for Inupiat students"
"522395867","Juneau Community Foundation","Juneau","AK","https://projects.propublica.org/nonprofits/organizations/522395867","https://www.juneaucf.org","https://www.juneaucf.org/scholarshipsgrants/","Multiple scholarships up to $10K; applications due mid-April; Rocinante Scholarship due Oct 1"
"870761624","North Star Community Foundation","Fairbanks","AK","https://projects.propublica.org/nonprofits/organizations/870761624","https://nscfundalaska.org","","No specific scholarship program found; focuses on community development funds in Interior Alaska"
"631270745","Black Belt Community Foundation Inc","Selma","AL","https://projects.propublica.org/nonprofits/organizations/631270745","https://blackbeltfound.org","https://blackbeltfound.org/william-geraldine-curry-scholarship/","William & Geraldine Curry Scholarship for Marengo County seniors; also offers grants and Head Start programs"
"630842355","Central Alabama Community Foundation Inc","Montgomery","AL","https://projects.propublica.org/nonprofits/organizations/630842355","https://cacfinfo.org","https://cacfinfo.org/scholarships/","50+ scholarships annually; single online application with eligibility quiz; Montgomery County area"
"208660184","Community Foundation Of Eastalabama Inc","Opelika","AL","https://projects.propublica.org/nonprofits/organizations/208660184","https://cfeastalabama.org","https://cfeastalabama.org/scholarships","Multiple scholarships for East Alabama students; various amounts $1K-$3K"
"263750673","Community Foundation Of Greater Huntsville","Huntsville","AL","https://projects.propublica.org/nonprofits/organizations/263750673","https://givehsv.org","https://givehsv.org/scholarship-opportunities/","Multiple scholarships including STEM and defense industry; apply via apply-ghcf.smapply.io"
"630308398","Community Foundation Of Northeast Alabama","Anniston","AL","https://projects.propublica.org/nonprofits/organizations/630308398","https://www.cfnea.org","https://www.cfnea.org/receive/scholarships","$200K+ in scholarships annually; serves 9 NE Alabama counties; traditional and nontraditional students"
"630695166","Community Foundation Of South Alabama","Mobile","AL","https://projects.propublica.org/nonprofits/organizations/630695166","https://www.communityfoundationsa.org","https://www.communityfoundationsa.org/apply-for-a-scholarship","40+ scholarship funds; online portal; SW Alabama area; $6K+ awards"
"631225003","Community Foundation Of West Alabama","Tuscaloosa","AL","https://projects.propublica.org/nonprofits/organizations/631225003","https://www.thecfwa.org","https://www.thecfwa.org/scholarships","14 named scholarships; $1K-$40K awards; over $500K awarded since 2002; West Alabama"
