"name","type","category","city","state","website","application_url","notes"
"Mike Rowe Works Foundation","Scholarship","General Trades","Baltimore","MD","https://mikeroweworks.org","https://mikeroweworks.org/scholarship/","$2.5M in scholarships; Work Ethic Scholarship; trade/vocational programs; apply Feb 23 - Oct 31 2026; S.W.E.A.T. Pledge + video required"
"DEWALT Trades Scholarship","Scholarship","General Trades","Towson","MD","https://www.dewalt.com/growthetrades","https://webportalapp.com/sp/dewalt-trades-us","40 awards of $5,000 each ($200K total); via SkillPointe Foundation; construction/industrial/motor/power/mechanics; deadline Feb 28 2026"
"Home Depot Foundation Path to Pro","Scholarship","Construction","Atlanta","GA","https://corporate.homedepot.com/page/path-pro-scholarship-programs","https://www.myscholarship.app/home-depot-foundation","$250K in scholarships for building construction trade programs; HS seniors/graduates; via SkillPointe Foundation; opens Feb 1 2026"
"SkillPointe Foundation","Scholarship","General Trades","National","US","https://www.skillpointefoundation.org","https://www.skillpointefoundation.org/scholarship-list","$1,000 quarterly scholarships; rolling basis; careers not requiring 4-yr degree; single login for all scholarships"
"Connex Foundation","Scholarship","General Trades","National","US","https://www.connexfoundation.org","https://cxfscholarship.smapply.us/prog/cxfscholarshipapply/","Up to $5,000; electrical/plumbing/welding/HVAC/carpentry/construction/facility mgmt; 2.5 GPA min; deadline Feb 15 2026"
"Bring Back the Trades","Scholarship","General Trades","National","US","https://bringbackthetrades.org","https://bringbackthetrades.org/scholarship-application/","$1,500 monthly scholarships during school year; rolling applications; essay or video required; all skilled trades eligible"
"Horatio Alger Career & Technical Education","Scholarship","General Trades","Alexandria","VA","https://horatioalger.org","https://horatioalger.org/career-technical-education-scholarships/","$2,500 to 300 students/year; additional up to $10K at specific schools; household income <$65K; deadline Jun 15 2026"
"Imagine America Foundation","Scholarship","General Trades","Washington","DC","https://imagine-america.org","https://imagine-america.org/scholarships/adult-learner-scholarships","$1,000 awards; $10M+ distributed annually; HS seniors + adult learners + military; 400+ participating career colleges"
"PHCC Educational Foundation","Scholarship","Plumbing/HVAC","Falls Church","VA","https://www.phccfoundation.org","https://apply.mykaleidoscope.com/program/PHCCEdFoundation2026","75 scholarships totaling $180K; $1,500-$10K awards; plumbing & HVACR apprentices/trade students/college; deadline May 1 2026"
"American Welding Society Foundation","Scholarship","Welding","Miami","FL","https://www.aws.org","https://scholarship.aws.org/applications/default.asp","$2.7M+ in scholarships; National ($2,500-$10K+); District ($1K-$2.5K); Welder Training ($1K x 800 awards); deadline Mar 1 2026"
